基金碼,簡稱,年月日,近一年變動率%
00658L ,國泰日本正2  ,20190307,   -0.280369
00659R ,國泰日本反1  ,20190307,   -7.496367
00661  ,元大日經225  ,20190307,    0.822126
00663L ,國泰臺灣加權正2,20190307,   -1.986154
00664R ,國泰臺灣加權反1,20190307,   -3.812118
00665L ,富邦恒生國企正2,20190307,  -10.986420
00666R ,富邦恒生國企反1,20190307,    1.008535
00675L ,富邦臺灣加權正2,20190307,   -2.013886
00676R ,富邦臺灣加權反1,20190307,   -3.768844
00685L ,群益臺灣加權正2,20190307,   -1.897233
00686R ,群益臺灣加權反1,20190307,   -3.686635
00690  ,兆豐藍籌30   ,20190307,   -1.053356
00691R ,兆豐藍籌30反1,20190307,   -4.080457
00692  ,富邦公司治理 ,20190307,   -0.910533
00700  ,富邦恒生國企 ,20190307,    0.795138
00701  ,國泰臺灣低波動30,20190307,    5.354811
00713  ,元大台高息低波,20190307,    3.116894
00718B ,富邦中國政策債,20190307,    8.461683
00728  ,第一金工業30 ,20190307,           -
00729R ,第一金工業30反1,20190307,           -
00730  ,富邦臺灣優質高息,20190307,   -2.571313
00731  ,FH富時高息低波,20190307,           -
00733  ,富邦臺灣中小 ,20190307,           -
00735  ,國泰臺韓科技 ,20190307,           -
00742  ,新光內需收益 ,20190307,           -
00743  ,國泰中國A150 ,20190307,           -
00745B ,富邦中政債0-1,20190307,           -
00748B ,凱基中國債3-10,20190307,           -
01001T ,土銀富邦R1   ,20190307,    3.755987
01002T ,土銀國泰R1   ,20190307,    4.620611
01003T ,兆豐新光R1   ,20190307,    2.307889
01004T ,土銀富邦R2   ,20190307,    4.494815
01007T ,兆豐國泰R2   ,20190307,    4.114650
01009T ,王道圓滿R1   ,20190307,           -
01010T ,京城樂富R1   ,20190307,           -
FRMSA  ,寶島指數     ,20190307,   -4.443700
FRMSR  ,寶島報酬指數 ,20190307,   -0.592000
M2300  ,電子類指數   ,20190307,   -8.205700
M23TR  ,電子報酬     ,20190307,   -4.782000
M2800  ,金融保險類指數,20190307,    2.222400
M28TR  ,金融報酬     ,20190307,    6.648200
OTC23  ,OTC 電子類   ,20190307,  -13.476200
OTC99  ,OTC 指數     ,20190307,   -8.536300
OTCTR  ,櫃檯報酬指   ,20190307,   -5.684800
R399333,中小板R      ,20190307,  -15.600959
R399606,創業板R      ,20190307,   -4.661394
S000001,上海綜指     ,20190307,   -5.051263
S000010,上証180      ,20190307,   -2.284466
S000016,上証50       ,20190307,   -3.073325
S000300,滬深300      ,20190307,   -5.643359
S000998,中證TMT      ,20190307,   -4.117468
T0101Y ,兆豐國際寶鑽貨幣,20190307,    0.460873
T0102Y ,兆豐國際第一 ,20190307,   -1.930498
T0103Y ,兆豐國際國民 ,20190307,   -3.727566
T0105Y ,兆豐國際萬全 ,20190307,    0.000001
T0108Y ,兆豐國際電子 ,20190307,   -1.939061
T0110Y ,兆豐豐台灣   ,20190307,    3.973509
T0118Y ,兆豐人民幣貨幣市,20190307,    3.449154
T0123A ,兆豐美元貨市 ,20190307,    6.822476
T0123B ,兆豐美元貨市 $,20190307,    2.172997
T0306Y ,第一金全家福貨幣,20190307,    0.452934
T0310Y ,第一金台灣貨幣,20190307,    0.480304
T0311Y ,第一金店頭   ,20190307,  -14.055793
T0313Y ,第一金小型   ,20190307,  -15.401655
T0314Y ,第一金電子   ,20190307,   -3.495399
T0318Y ,第一金大中華 ,20190307,   -5.520990
T0320Y ,第一金中概平衡,20190307,    6.086583
T0336Y ,第一金創新   ,20190307,   -4.079740
T0405Y ,匯豐安富     ,20190307,   -0.715420
T0406Y ,匯豐成功     ,20190307,   10.434327
T0408A ,匯豐龍鳳I    ,20190307,           -
T0408Y ,匯豐龍鳳A    ,20190307,   -1.102800
T0410Y ,匯豐龍騰電子 ,20190307,   -6.226518
T0413Y ,匯豐富泰二號貨幣,20190307,    0.197747
T0415Y ,匯豐台灣精典 ,20190307,   -1.729954
T0502Y ,元多福       ,20190307,  -10.178988
T0503Y ,元大多多基金 ,20190307,  -15.079367
T0504Y ,元卓越       ,20190307,  -15.621871
T0506Y ,元店頭       ,20190307,  -10.896706
T0507Y ,元大萬泰貨幣市場,20190307,    0.445163
T0508Y ,元高科       ,20190307,    5.400703
T0509Y ,元大經貿基金 ,20190307,   -2.905847
T0513Y ,新主流       ,20190307,   -8.323133
T0516Y ,元大巴菲特基金,20190307,  -14.221912
T0567Y ,元2001       ,20190307,   -8.664996
T0569Y ,元大得利貨幣市場,20190307,    0.474084
T0571Y ,元大得寶貨幣市場,20190307,    0.449875
T0574Y ,元大台灣加權股價,20190307,   -1.899842
T05A1A ,元大美元貨市 ,20190307,    7.663007
T05A1B ,元大美元貨市 USD,20190307,    2.085933
T05A5A ,元大澳幣貨市場,20190307,   -3.685960
T05A5B ,元大澳幣貨市場 A,20190307,    1.300872
T0601Y ,景順潛力     ,20190307,  -15.298717
T0602Y ,景順貨幣市場基金,20190307,    0.360735
T0605Y ,景順台灣科技 ,20190307,  -18.270055
T0606Y ,景順主流     ,20190307,  -15.526990
T0704Y ,瀚亞高科技   ,20190307,   -3.756588
T0705Y ,瀚亞外銷     ,20190307,   -4.404202
T0708Y ,瀚亞菁華     ,20190307,   -1.926606
T0711Y ,瀚亞中小型股 ,20190307,   -4.366001
T0712Y ,瀚亞威寶貨幣基金,20190307,    0.457319
T0715Y ,瀚亞電通網   ,20190307,   -5.515423
T0717Y ,瀚亞理財通   ,20190307,    5.478898
T0802Y ,保德信高成長Aa,20190307,    5.706905
T0803Y ,保德信金滿意 ,20190307,    3.442218
T0805Y ,保德信貨幣市場,20190307,    0.472817
T0806Y ,保德信店頭   ,20190307,   -4.998519
T0807Y ,保德信第一   ,20190307,   -2.205288
T0808Y ,保德信科技島 ,20190307,    4.562260
T0810Y ,保德信中小型 ,20190307,    3.955585
T0811Y ,保德信瑞騰   ,20190307,    0.430431
T0812Y ,保德信新世紀 ,20190307,   -0.201817
T0814Y ,保德信金平衡 ,20190307,    0.310449
T0815Y ,保德信台商全方位,20190307,    0.297090
T0901Y ,統一統信     ,20190307,   -9.250961
T0902A ,統一全天候I  ,20190307,           -
T0902Y ,統一全天候A  ,20190307,    5.237158
T0903Y ,統一黑馬     ,20190307,    0.396754
T0904Y ,統一龍馬     ,20190307,   -7.138617
T0905Y ,統一強棒貨幣市場,20190307,    0.444437
T0906Y ,統一中小     ,20190307,   -4.044115
T0909Y ,統一經建     ,20190307,    4.912280
T0910Y ,統一奔騰     ,20190307,    2.327298
T0911A ,統一大滿貫I  ,20190307,           -
T0911Y ,統一大滿貫A  ,20190307,   -1.305150
T0922Y ,統一台灣動力 ,20190307,    7.024267
T1001B ,富邦FB I     ,20190307,           -
T1001Y ,富邦FB A     ,20190307,   -1.192370
T1004Y ,富邦精準     ,20190307,   -6.247242
T1005Y ,富邦長紅     ,20190307,   -7.696014
T1008Y ,富邦吉祥貨幣市場,20190307,    0.440078
T1010Y ,精銳FB       ,20190307,   -5.329723
T1011Y ,富邦高成長   ,20190307,   -6.042551
T1012Y ,科技FB       ,20190307,   -6.271188
T1017Y ,富邦台灣心   ,20190307,   -2.891001
T1102Y ,摩根台灣增長 ,20190307,   -4.630362
T1104Y ,摩根新興科技 ,20190307,   -9.318066
T1107Y ,摩根第一貨幣市場,20190307,    0.353331
T1111Y ,摩根中小     ,20190307,   -8.316261
T1114Y ,摩根平衡     ,20190307,   -1.552342
T1135B ,摩根台灣金磚I,20190307,           -
T1135Y ,摩根台灣金磚A,20190307,   -6.041256
T1201Y ,華南永昌永昌 ,20190307,   -1.769916
T1204Y ,華南永昌鳳翔貨幣,20190307,    0.461846
T1207Y ,華南永昌龍盈平衡,20190307,   -1.515048
T1208Y ,華南永昌麒麟貨幣,20190307,    0.439771
T1249Y ,華南物聯網   ,20190307,   -8.695645
T1405Y ,新光創新科技 ,20190307,  -13.870546
T1407Y ,新光店頭     ,20190307,  -10.008043
T1408Y ,新光大三通   ,20190307,  -12.778899
T1411Y ,新光台灣富貴 ,20190307,   -6.134455
T1416Y ,新光吉星貨幣 ,20190307,    0.414506
T1601Y ,群益奧斯卡   ,20190307,    0.482732
T1603Y ,群益葛萊美   ,20190307,    0.655013
T1608Y ,群益中小     ,20190307,   -3.464561
T1609B ,群益馬拉松I  ,20190307,           -
T1609Y ,群益馬拉松A  ,20190307,   -4.571574
T1612Y ,群益店頭市場 ,20190307,   -6.884105
T1613Y ,群益長安     ,20190307,   -5.717329
T1614Y ,群益創新科技 ,20190307,    2.283690
T1615Y ,群益安穩貨幣市場,20190307,    0.463481
T1616Y ,群益真善美   ,20190307,   -7.203574
T1617Y ,群益平衡王   ,20190307,   -0.682000
T1618Y ,群益安家     ,20190307,    2.168337
T1701Y ,德信大發     ,20190307,   -5.540358
T1706Y ,德信數位時代 ,20190307,    1.837456
T1708Y ,德信萬保貨幣市場,20190307,    0.432382
T1713Y ,德信台灣主流中小,20190307,    0.508463
T1802Y ,聯博大利     ,20190307,   -8.547690
T1803Y ,聯博貨幣市場 ,20190307,    0.283086
T2003Y ,日盛上選     ,20190307,    1.248811
T2004Y ,日盛小而美   ,20190307,   -9.071501
T2005Y ,日盛精選五虎 ,20190307,   -5.534347
T2006Y ,日盛高科技   ,20190307,    4.966686
T2007Y ,日盛基金     ,20190307,   -0.610369
T2008Y ,日盛貨幣市場 ,20190307,    0.468811
T2011Y ,日盛新台商   ,20190307,    2.453142
T2030Y ,日盛首選     ,20190307,    1.161373
T2036Y ,日盛MIT 主流 ,20190307,   -1.650167
T2101Y ,柏瑞巨人     ,20190307,   -5.886967
T2112Y ,柏瑞巨輪貨幣市場,20190307,    0.343274
T2203Y ,復華基金     ,20190307,    3.466112
T2204Y ,復華貨幣市場基金,20190307,    0.411900
T2205Y ,FH高成       ,20190307,    5.009825
T2206Y ,復華傳家     ,20190307,   -5.446342
T2207Y ,復華有利貨幣市場,20190307,    0.420475
T2208Y ,FH數位       ,20190307,  -10.693689
T2209Y ,復華傳家二號 ,20190307,   10.687966
T2210Y ,FH中小       ,20190307,   -0.313886
T2212Y ,復華人生目標 ,20190307,    9.938114
T2214Y ,復華神盾     ,20190307,    4.353793
T2216Y ,復華全方位   ,20190307,    4.272223
T2284Y ,復華人民幣貨幣,20190307,    2.798343
T2295Y ,復華台灣智能基金,20190307,   -2.439032
T2501Y ,永豐永豐Aa   ,20190307,   -2.675383
T2502Y ,永豐貨幣市場 ,20190307,    0.438804
T2503Y ,永豐高科技   ,20190307,    0.987422
T2506Y ,永豐中小Aa   ,20190307,    4.090060
T2507Y ,永豐趨勢平衡 ,20190307,  -11.426685
T2520Y ,永豐領航科技 ,20190307,   -1.124492
T2612Y ,中信華盈貨幣市場,20190307,    0.463334
T2620Y ,中信台灣活力A,20190307,   -1.355210
T2701Y ,宏利臺灣股息收益,20190307,  -12.980418
T2702Y ,宏利萬利貨幣市場,20190307,    0.342825
T2703Y ,宏利台灣動力 ,20190307,   -4.835463
T3101Y ,貝萊德寶利基金,20190307,    3.839863
T3102Y ,貝萊德新台幣貨幣,20190307,    0.267814
T3201S ,野村優質S    ,20190307,           -
T3201Y ,野村優質     ,20190307,   -2.287587
T3203Y ,野村成長     ,20190307,   -2.600561
T3204Y ,野村平衡     ,20190307,   -1.132078
T3205Y ,野村e 科技   ,20190307,  -14.816603
T3207S ,野村中小S    ,20190307,           -
T3207Y ,野村中小     ,20190307,   -7.065107
T3218Y ,野村台灣運籌 ,20190307,   -4.431437
T3219Y ,野村鴻運     ,20190307,   -9.708737
T3221Y ,野村鴻利     ,20190307,    1.205933
T3222Y ,野村鴻揚貨幣 ,20190307,    0.254137
T3223Y ,野村積極成長 ,20190307,   -2.382906
T3225Y ,野村貨幣市場 ,20190307,    0.455811
T3228Y ,野村高科技   ,20190307,  -13.088522
T3230Y ,野村精選貨幣 ,20190307,    0.290107
T3236Y ,野村台灣高股 ,20190307,    5.139573
T3302Y ,聯邦貨幣市場 ,20190307,    0.442222
T3303Y ,聯邦精選科技 ,20190307,   -1.526103
T3305Y ,聯邦中國龍   ,20190307,   -0.526961
T3308Y ,聯邦金鑽平衡 ,20190307,   -2.599834
T3501Y ,未來資產阿波羅,20190307,  -12.216408
T3502Y ,未來所羅門貨幣,20190307,    0.414541
T3601Y ,安聯台灣大壩 ,20190307,   14.838719
T3602Y ,安聯台灣貨幣 ,20190307,    0.469273
T3604Y ,安聯台灣科技 ,20190307,    6.823964
T3619Y ,安聯台灣智慧 ,20190307,   11.225218
T3701U ,國泰國泰I    ,20190307,           -
T3701Y ,國泰國泰A    ,20190307,   -7.300222
T3702Y ,國泰台灣貨幣市場,20190307,    0.382515
T3703U ,國泰中小成長Ia$,20190307,           -
T3703Y ,國泰中小成長 ,20190307,   -7.799821
T3706Y ,國泰大中華   ,20190307,  -13.124107
T3707Y ,國泰科技生化 ,20190307,  -15.074427
T3714U ,國泰小龍Ia$  ,20190307,           -
T3714Y ,國泰小龍     ,20190307,   -9.090912
T3735Y ,國泰價值卓越 ,20190307,   -6.698901
T3803Y ,富達台灣成長 ,20190307,   -0.067469
T4001Y ,德銀遠東DWS 台灣,20190307,  -12.736963
T4002Y ,德銀DWS 台灣貨幣,20190307,    0.465732
T4101Y ,凱基開創     ,20190307,    1.560717
T4102Y ,凱基凱旋貨幣市場,20190307,    0.430405
T4112Y ,凱基台灣精五門,20190307,   -3.918721
T4209A ,施羅德台樂活Ia,20190307,   -2.777898
T4209B ,施羅德台樂活Ca,20190307,           -
T4209Y ,施羅德台樂活Aa,20190307,   -4.327429
T4301Y ,華頓台灣     ,20190307,   -4.693878
T4302Y ,華頓平安貨幣市場,20190307,    0.440089
T4303Y ,華頓中小型   ,20190307,  -15.070192
T4502Y ,富蘭克林華美第一,20190307,   -8.406742
T4510Y ,富蘭克林高科技,20190307,    1.290964
T4511Y ,富蘭克林華美傳產,20190307,    3.606384
T4513Y ,富蘭貨幣市場基金,20190307,    0.482397
T4702Y ,台新真吉利貨幣,20190307,    0.403772
T4703Y ,台新高股息平衡,20190307,   -0.288441
T4706Y ,台新主流     ,20190307,   -4.178855
T4712Y ,台新台灣中小基金,20190307,  -13.365157
T4713Y ,台新大眾貨幣市場,20190307,    0.461314
T4714Y ,台新中國通   ,20190307,  -11.080453
T4719Y ,台新1699貨幣市場,20190307,    0.477802
T4720Y ,台新2000高科 ,20190307,  -16.732395
T4801Y ,合庫台灣基金 ,20190307,   -8.267370
T4807Y ,合庫貨幣市場基金,20190307,    0.453041
T4903Y ,大華銀多特收益,20190307,           -
T5001A ,路博邁AR台股TA,20190307,   -2.153853
T5001B ,路博邁AR台股TB,20190307,   -2.085847
TF001  ,台灣高股息指數,20190307,    1.171800
TF002  ,高股(TR)     ,20190307,    7.418700
TM100  ,台灣中型指數 ,20190307,   -2.483400
TR100  ,中型TR       ,20190307,    1.457200
TRI50  ,T50 報酬指數 ,20190307,   -1.740300
TWN50  ,台灣50指數   ,20190307,   -5.627000
Y5555  ,不含電子     ,20190307,    1.110800
Y8886  ,未含金電     ,20190307,    0.686700
Y8887  ,TR未金電     ,20190307,    5.426500
Y8888  ,不含金融     ,20190307,   -4.956900
Y9997  ,報酬指數     ,20190307,   -0.072900
Y9999  ,加權指數     ,20190307,   -4.035800
Z399005,中小板指     ,20190307,  -16.398486
Z399006,創業板指     ,20190307,   -5.200937
Z399106,深圳綜指     ,20190307,   -9.214197
ZA1110A,一般型_A     ,20190307,   -3.099519
ZA1110B,一般型_B     ,20190307,    1.573483
ZA1110C,一般型_C     ,20190307,   -7.772520
ZA1120A,科技類_A     ,20190307,   -4.612857
ZA1120B,科技類_B     ,20190307,    1.722722
ZA1120C,科技類_C     ,20190307,  -10.948436
ZA1130A,中小型_A     ,20190307,   -5.195245
ZA1130B,中小型_B     ,20190307,   -0.858777
ZA1130C,中小型_C     ,20190307,   -9.531713
ZA1140A,上櫃股票_A   ,20190307,   -9.368633
ZA1140B,上櫃股票_B   ,20190307,   -7.296889
ZA1140C,上櫃股票_C   ,20190307,  -12.476250
ZA1151A,指數-一般ETF_A,20190307,   -1.078771
ZA1151B,指數-一般ETF_B,20190307,    2.538991
ZA1151C,指數-一般ETF_C,20190307,   -5.098506
ZA1152A,指數-二倍ETF_A,20190307,   -1.962326
ZA1152B,指數-二倍ETF_B,20190307,   -1.924632
ZA1152C,指數-二倍ETF_C,20190307,   -2.000020
ZA1153A,指數-反向ETF_A,20190307,   -3.840620
ZA1153B,指數-反向ETF_B,20190307,   -3.755866
ZA1153C,指數-反向ETF_C,20190307,   -3.967752
ZA1154A,指數-非ETF_A ,20190307,   -1.899842
ZA1154B,指數-非ETF_B ,20190307,   -1.899842
ZA11A0A,中概股_A     ,20190307,   -4.583713
ZA11A0B,中概股_B     ,20190307,    0.741090
ZA11A0C,中概股_C     ,20190307,   -9.908517
ZA11B0A,價值型_A     ,20190307,   -5.765825
ZA11B0B,價值型_B     ,20190307,   -0.542266
ZA11B0C,價值型_C     ,20190307,  -13.601165
ZA1235A,跨國-中國ETF_A,20190307,   -6.149594
ZA1235B,跨國-中國ETF_B,20190307,   -1.221242
ZA1235C,跨國-中國ETF_C,20190307,  -12.063617
ZA1236A,跨國-中2XETF_A,20190307,  -16.458892
ZA1236B,跨國-中2XETF_B,20190307,  -15.541329
ZA1236C,跨國-中2XETF_C,20190307,  -18.294018
ZA1237A,跨國-中反ETF_A,20190307,   -1.744357
ZA1237B,跨國-中反ETF_B,20190307,   -1.287370
ZA1237C,跨國-中反ETF_C,20190307,   -2.658331
ZA123FA,日本ETF_A    ,20190307,   -1.481631
ZA123FB,日本ETF_B    ,20190307,    1.414925
ZA123FC,日本ETF_C    ,20190307,   -4.378186
ZA123GA,日本二倍ETF_A,20190307,   -6.713798
ZA123GB,日本二倍ETF_B,20190307,   -0.280369
ZA123GC,日本二倍ETF_C,20190307,  -13.147227
ZA123HA,日本反向ETF_A,20190307,   -3.748184
ZA123HB,日本反向ETF_B,20190307,    0.000000
ZA123HC,日本反向ETF_C,20190307,   -7.496367
ZA123KA,其他市場ETF_A,20190307,    1.410761
ZA123KB,其他市場ETF_B,20190307,    2.026384
ZA123KC,其他市場ETF_C,20190307,    0.795138
ZA123LA,其他市場2XETF_A,20190307,  -10.126472
ZA123LB,其他市場2XETF_B,20190307,   -9.266523
ZA123LC,其他市場2XETF_C,20190307,  -10.986420
ZA123MA,其他市場反ETF_A,20190307,   -0.391792
ZA123MB,其他市場反ETF_B,20190307,    1.008535
ZA123MC,其他市場反ETF_C,20190307,   -1.792118
ZA1241A,跨國-區域ETF_A,20190307,           -
ZA1241B,跨國-區域ETF_B,20190307,           -
ZA2100A,平衡價值型_A ,20190307,   -0.859735
ZA2100B,平衡價值型_B ,20190307,   -0.185776
ZA2100C,平衡價值型_C ,20190307,   -1.533695
ZA2200A,平衡一般型_A ,20190307,    0.740483
ZA2200B,平衡一般型_B ,20190307,    4.989953
ZA2200C,平衡一般型_C ,20190307,   -4.116053
ZA3410A,固定收益_A   ,20190307,    0.430431
ZA3410B,固定收益_B   ,20190307,    0.430431
ZA3531A,債券-一般ETF_A,20190307,           -
ZA3531B,債券-一般ETF_B,20190307,           -
ZA3531C,債券-一般ETF_C,20190307,           -
ZA4100A,國內貨幣市場_A,20190307,    0.415837
ZA4100B,國內貨幣市場_B,20190307,    0.462041
ZA4100C,國內貨幣市場_C,20190307,    0.369633
ZA4200A,海外貨幣市場_A,20190307,    2.825853
ZA4200B,海外貨幣市場_B,20190307,    5.183245
ZA4200C,海外貨幣市場_C,20190307,    0.468461
ZA5100A,國內組合_A   ,20190307,   -2.439032
ZA5100B,國內組合_B   ,20190307,   -2.439032
